repository	commit	file	bytes	sha256	kind	review_status	source_url
emilkowalski/skills	85e8e2363b713506e1d5b6e07a0eb2da66be1bc3	.gitattributes	68	c7b91a8020b8144953c7e7096631324706c9b85a6bb04ba7aede9431f8105916	text	queued	https://github.com/emilkowalski/skills/blob/85e8e2363b713506e1d5b6e07a0eb2da66be1bc3/.gitattributes
emilkowalski/skills	85e8e2363b713506e1d5b6e07a0eb2da66be1bc3	.gitignore	10	cf237c7aff44efbe6e502e645c3e06da03a69d7bdeb43392108ef3348143417e	text	queued	https://github.com/emilkowalski/skills/blob/85e8e2363b713506e1d5b6e07a0eb2da66be1bc3/.gitignore
emilkowalski/skills	85e8e2363b713506e1d5b6e07a0eb2da66be1bc3	.pl	0	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	text	queued	https://github.com/emilkowalski/skills/blob/85e8e2363b713506e1d5b6e07a0eb2da66be1bc3/.pl
emilkowalski/skills	85e8e2363b713506e1d5b6e07a0eb2da66be1bc3	LICENSE	1070	4ff5bdb7887ec1435c9cab0e8d1a7caee704d894d65c2a008ccc68b1cc2f260b	text	read	https://github.com/emilkowalski/skills/blob/85e8e2363b713506e1d5b6e07a0eb2da66be1bc3/LICENSE
emilkowalski/skills	85e8e2363b713506e1d5b6e07a0eb2da66be1bc3	README.md	4250	5efa320ad2fbc3d4d5cd933fececd8cd76966467228341ca1ef7ad1f1d27b48c	text	queued	https://github.com/emilkowalski/skills/blob/85e8e2363b713506e1d5b6e07a0eb2da66be1bc3/README.md
emilkowalski/skills	85e8e2363b713506e1d5b6e07a0eb2da66be1bc3	performance-cheatsheet.md	932	016c7294ddd5fa17fd97b7125ffb799ffb94e27a9b465a6fbaedfd92685d4583	text	read	https://github.com/emilkowalski/skills/blob/85e8e2363b713506e1d5b6e07a0eb2da66be1bc3/performance-cheatsheet.md
emilkowalski/skills	85e8e2363b713506e1d5b6e07a0eb2da66be1bc3	skills/animate-expo/RECIPES.md	16808	1193cb71334da2e2341778dd92bec9ac79d989cb07fd55d661f324ed5871e718	text	queued	https://github.com/emilkowalski/skills/blob/85e8e2363b713506e1d5b6e07a0eb2da66be1bc3/skills/animate-expo/RECIPES.md
emilkowalski/skills	85e8e2363b713506e1d5b6e07a0eb2da66be1bc3	skills/animate-expo/SKILL.md	17891	9a01a91701e6563c67677dde6b66ab30f066a5341d42c21a90ba51d99679274a	skill	queued	https://github.com/emilkowalski/skills/blob/85e8e2363b713506e1d5b6e07a0eb2da66be1bc3/skills/animate-expo/SKILL.md
emilkowalski/skills	85e8e2363b713506e1d5b6e07a0eb2da66be1bc3	skills/animate/RECIPES.md	7957	21ff63d84391db8d96ecdf9170095f55a42c836ccc36fd3269c4772bab031ba2	text	queued	https://github.com/emilkowalski/skills/blob/85e8e2363b713506e1d5b6e07a0eb2da66be1bc3/skills/animate/RECIPES.md
emilkowalski/skills	85e8e2363b713506e1d5b6e07a0eb2da66be1bc3	skills/animate/SKILL.md	11860	b8ede161270458e6ae2e45e8a1985373515d4c63de5568ddb0f9012d7634356c	skill	queued	https://github.com/emilkowalski/skills/blob/85e8e2363b713506e1d5b6e07a0eb2da66be1bc3/skills/animate/SKILL.md
emilkowalski/skills	85e8e2363b713506e1d5b6e07a0eb2da66be1bc3	skills/animation-vocabulary/SKILL.md	13425	40d2b27adfdfeb0570a9f20e7d0255109d9233c50603878bcd0dcd04c923fd94	skill	queued	https://github.com/emilkowalski/skills/blob/85e8e2363b713506e1d5b6e07a0eb2da66be1bc3/skills/animation-vocabulary/SKILL.md
emilkowalski/skills	85e8e2363b713506e1d5b6e07a0eb2da66be1bc3	skills/apple-design/SKILL.md	23036	77bb63b7043bb93aca2ff4ab040c249484eef35682bb6ff7163433c31d30adc7	skill	queued	https://github.com/emilkowalski/skills/blob/85e8e2363b713506e1d5b6e07a0eb2da66be1bc3/skills/apple-design/SKILL.md
emilkowalski/skills	85e8e2363b713506e1d5b6e07a0eb2da66be1bc3	skills/ask-sonner/API.md	4545	4bb06f482c5757529e3d7a672a30fbeed42d24919a63e2571384a9ce1549aa7f	text	queued	https://github.com/emilkowalski/skills/blob/85e8e2363b713506e1d5b6e07a0eb2da66be1bc3/skills/ask-sonner/API.md
emilkowalski/skills	85e8e2363b713506e1d5b6e07a0eb2da66be1bc3	skills/ask-sonner/SKILL.md	7233	39f3ee185b3aa2cf70a689052ff078953ce7ba5915ed7a9391d232e9d4dcf57f	skill	queued	https://github.com/emilkowalski/skills/blob/85e8e2363b713506e1d5b6e07a0eb2da66be1bc3/skills/ask-sonner/SKILL.md
emilkowalski/skills	85e8e2363b713506e1d5b6e07a0eb2da66be1bc3	skills/emil-design-eng/SKILL.md	27123	ffbe68e6007fb42cb8149f089b400a1ca007d59ba23e8948e2be4476f3175939	skill	queued	https://github.com/emilkowalski/skills/blob/85e8e2363b713506e1d5b6e07a0eb2da66be1bc3/skills/emil-design-eng/SKILL.md
emilkowalski/skills	85e8e2363b713506e1d5b6e07a0eb2da66be1bc3	skills/find-animation-opportunities/SKILL.md	9808	d52a377819b84a71930f0c822cfe2849f40301605a2d5c7eccbfa3b257700df2	skill	queued	https://github.com/emilkowalski/skills/blob/85e8e2363b713506e1d5b6e07a0eb2da66be1bc3/skills/find-animation-opportunities/SKILL.md
emilkowalski/skills	85e8e2363b713506e1d5b6e07a0eb2da66be1bc3	skills/improve-animations/AUDIT.md	7387	551c8473e20e5f4774680bc24d45e1c68e50992582720905c6b077756b7b5a55	text	queued	https://github.com/emilkowalski/skills/blob/85e8e2363b713506e1d5b6e07a0eb2da66be1bc3/skills/improve-animations/AUDIT.md
